,biz_id,all,elite,elite_hat,diff
52,V86AJK3xytBv2C0bwi9_Ow,4.151376146788991,4.583333333333333,4.6923076923076925,-0.5409315455187018
53,WkN8Z2Q8gbhjjkCt8cDVxg,3.9766162310866573,3.9310344827586206,3.871212121212121,0.10540410987453619
54,WpC8T9oazzH7A7yR5e56Vg,4.584745762711864,4.7272727272727275,4.666666666666667,-0.08192090395480278
55,Z2qMwUhnGt_2pA9uQbS7Uw,3.9443521594684388,4.150442477876106,4.10377358490566,-0.1594214254372215
56,ZdEohT36LcY3eKh4fJMGRQ,4.1875,4.142857142857143,4.125,0.0625
57,_IFMCrheTi12RqiR7jvJUg,3.957055214723926,4.375,4.411764705882353,-0.45470949115842707
58,bAybZImsqUwinMrzZlzVIQ,4.142676767676767,4.127272727272727,4.111111111111111,0.031565656565656575
59,bJ7CAbc32-M5h35YiAeSIw,5.0,5.0,5.0,0.0
60,bP6goJODwRnM3AVy45Kn9w,3.9689578713968956,4.0,4.0,-0.031042128603104402
61,bSmQbw5A-WA0TtmFc1NTpQ,4.0150943396226415,4.214285714285714,4.153846153846154,-0.13875181422351268
62,bhGLJ3MdqAKmLHANNH-L3g,3.823529411764706,3.6666666666666665,3.6,0.22352941176470598
63,bsjyXlPMSPHFLKf89mTvbw,4.6923076923076925,4.0,4.0,0.6923076923076925
64,dfL1KYHtcs6YaFVx-nZTdQ,4.371134020618556,4.363636363636363,4.4,-0.028865979381444085
65,e1RoEC5uvzXnLXbjuK3ZSg,4.470967741935484,4.4,4.75,-0.27903225806451637
66,eG-UO83g_5zDk70FIJbm2w,4.362305986696231,4.392,4.392,-0.02969401330376975
67,eMJGDVzTH7mbGNWIfz6jcQ,4.3008474576271185,4.0,4.0,0.3008474576271185
68,eqFA5BJ5NDjZ4TaUXJazfg,4.419209039548023,4.782608695652174,4.72,-0.30079096045197673
69,flrsv0dum7T68jy7QSDRKw,4.398340248962656,4.714285714285714,4.6,-0.20165975103734368
70,g0KkQmGXCtxkzHWoYEQa4A,4.608695652173913,3.5,5.0,-0.3913043478260869
71,g9YfGaCb49yrLb7FpD9A7g,4.443037974683544,4.111111111111111,4.142857142857143,0.30018083182640076
72,hVL_gLKPoCTMlS5Pux_XWg,3.7333333333333334,4.05,4.0,-0.2666666666666666
73,iNpKyGdjCb40PECLpyF-rg,4.688172043010753,2.5,2.5,2.188172043010753
74,jbKI2uM4nrRIlBT2sMX3MQ,3.9825119236883944,4.405405405405405,4.384615384615385,-0.4021034609269907
75,jh07n3CFoc8gskZ8F-2g9w,3.991501416430595,4.2592592592592595,4.269230769230769,-0.2777293528001743
76,jx0yeEipLwhKDlwWcyGt9Q,4.479915433403805,4.27027027027027,4.305555555555555,0.17435987784825002
77,kGb2Rnh3Uwni5k0qQY-05Q,3.8333333333333335,4.071428571428571,4.071428571428571,-0.2380952380952377
78,kzXrQKJpN2JyLd68iwH3hg,4.016393442622951,4.0,4.0,0.016393442622950616
79,oGshUJhbJsjsnaQZXJaDNA,4.085245901639344,4.125,4.1875,-0.10225409836065591
80,qJAoMZ773AMxN3ewp8cbQA,4.5893223819301845,4.666666666666667,4.75,-0.1606776180698155
81,qTXYie0Phy8JbuOau4rTmg,4.3478260869565215,5.0,5.0,-0.6521739130434785
82,r0JxdG5StcD8eiHF9u01ZQ,4.317543859649123,4.533333333333333,4.494736842105263,-0.17719298245614024
83,rNmAxOkEJ07_YHAxHKyH4Q,3.930817610062893,4.0588235294117645,4.0,-0.06918238993710712
84,tDv2qG4N7PsYLN0QYuuaZQ,4.3619047619047615,4.1891891891891895,4.212121212121212,0.14978354978354957
85,u-4wti774tFcYRLuQrnHEg,4.28271918678526,4.318181818181818,4.2784313725490195,0.004287814236240806
86,uO4A77jXMPfZmlbf_52zRw,4.456674473067916,4.5,4.580645161290323,-0.12397068822240698
87,uZaT6J821lHMFrfrFno7lg,4.364605543710021,4.428571428571429,4.32,0.04460554371002079
88,v3Bj4U3WMuol_VLJLQpvRQ,4.005376344086022,4.375,4.0,0.005376344086021945
89,vFulipMlcFyN60_SyAhjyA,4.022421524663677,4.0,4.131578947368421,-0.10915742270474382
90,vQgMPq9_YttFX6nau6PomA,4.395348837209302,4.25,4.0,0.39534883720930214
91,vgUv079XkNbWOtBf3tYKnw,4.6,3.6666666666666665,3.6666666666666665,0.9333333333333331
92,yWsHawhAIt1rINn4U8s3kQ,4.045454545454546,5.0,5.0,-0.9545454545454541
93,yoHbWZBDmgHyl5oWMQRIoQ,4.746031746031746,4.857142857142857,4.857142857142857,-0.11111111111111072
94,z9oCxeqOKp2QMfM24m7bUw,3.9019607843137254,4.023121387283237,4.050955414012739,-0.14899462969901345
